GEO_ID,state,county,county_name,avg_household_size,avg_family_size,pop_in_households,pop_in_school,pop_in_college,attainment_gt_12th,attainment_gt_bachelors,pop_veterans,pop_native,pop_foreign_born,naturalized_citizen,not_citizen,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,households_with_computer,households_with_internet,pop_in_labor_force,civilian_labor_force,civilian_labor_force_employed,civilian_labor_force_unemployed,armed_forces,pop_not_in_labor_force,work_commute_drove_alone,work_commute_carpooled,work_commute_public_transport,work_commute_walked,work_commute_other,work_commute_from_home,work_commute_avg_time_minutes,worker_class_private_or_salary,worker_class_government,worker_class_self_employed,worker_class_unpaid_family,median_household_income_dollars,avg_household_income_dollars,pop_noninstitutionalized,pop_with_health_insurance,pop_without_health_insurance,pop_total,pop_male,pop_female,pop_hispanic_alone,pop_white_alone,pop_black_alone,pop_american_indian_alaska_native_alone,pop_native_hawaiian_pacific_islander_alone,pop_other_race_alone,pop_two_or_more_races,pop_citizen_over_18,pop_citizen_over_18_male,pop_citizen_over_18_female,pop_in_school_not_college,attainment_lt_12th_no_diploma
0500000US26117,26,117,"Montcalm County, Michigan",2.66,3.20,65077,13685,2519,42697,7732,4333,66263,1553,472,1081,119,183,32,0,1085,134,22436,20572,30971,30929,29374,1555,42,24198,23484,2707,6,406,388,2007,30.7,24245,3061,1993,75,67344,79730,65363,59544,5819,67816,36359,31457,3033,58991,2158,153,0,366,2966,52646,28646,24000,11166.0,5562.0
0500000US26119,26,119,"Montmorency County, Michigan",1.92,2.44,9426,1110,122,6914,1184,782,9344,172,109,63,37,63,0,0,44,28,4529,4081,3467,3467,3283,184,0,4801,2455,356,0,43,32,323,26.3,2567,445,266,5,49756,63313,9460,8887,573,9516,4905,4611,165,8847,66,31,0,8,338,8036,4144,3892,988.0,696.0
0500000US26121,26,121,"Muskegon County, Michigan",2.51,3.00,170270,37817,6412,112763,26126,9841,172595,3366,1776,1590,573,875,122,34,1593,169,63587,60159,83997,83938,78530,5408,59,57159,62010,7205,41,957,908,5540,21.6,65215,9094,4067,154,65024,81950,171793,164018,7775,175961,87788,88173,11010,131900,21109,778,89,281,9796,134908,66723,68185,31405.0,9629.0
0500000US26123,26,123,"Newaygo County, Michigan",2.55,3.03,50174,10155,1335,32257,6543,2965,49727,1065,531,534,206,202,10,0,606,41,18238,16477,22874,22868,21872,996,6,18297,16595,2398,22,339,392,1762,30.6,18189,2414,1212,57,63304,79003,50386,47240,3146,50792,25765,25027,3175,44293,400,144,45,458,2064,39184,19803,19381,8820.0,3842.0
0500000US26125,26,125,"Oakland County, Michigan",2.39,3.05,1267271,282150,72130,875046,469718,44825,1109135,170690,92386,78304,30678,101364,6599,733,22323,8993,513942,499566,697556,697190,663819,33371,366,355123,464268,38263,2246,7159,7547,131716,25.8,570070,61257,31699,793,97760,134116,1272907,1224179,48728,1279825,632158,647667,64409,873178,162467,1301,384,7020,61641,951117,462204,488913,210020.0,45222.0
0500000US26127,26,127,"Oceana County, Michigan",2.52,2.98,26289,5085,590,17342,4131,1554,25799,1116,332,784,144,46,3,2,900,21,9602,8659,12238,12234,11441,793,4,9651,8683,1357,15,235,142,832,23.7,8983,1551,876,31,62417,82476,26741,24738,2003,26915,13777,13138,4181,21408,273,122,1,41,851,20446,10479,9967,4495.0,1870.0
0500000US26129,26,129,"Ogemaw County, Michigan",2.20,2.68,20612,3369,532,14420,2736,1798,20493,392,253,139,158,119,6,0,54,55,8741,8095,8405,8402,7877,525,3,9273,6135,628,14,142,59,739,26.9,6435,936,499,7,54666,69376,20639,19401,1238,20885,10486,10399,470,19326,101,40,2,51,735,17037,8542,8495,2837.0,1485.0
0500000US26131,26,131,"Ontonagon County, Michigan",1.84,2.29,5782,619,93,4626,903,726,5786,64,58,6,22,23,0,0,5,14,2851,2711,2272,2271,2150,121,1,3018,1425,262,9,126,25,244,25.0,1423,581,139,7,54398,67617,5807,5490,317,5850,3016,2834,105,5402,30,22,0,21,246,5175,2670,2505,526.0,269.0
0500000US26133,26,133,"Osceola County, Michigan",2.44,2.91,22816,4580,564,14859,2735,1830,23028,199,111,88,45,81,3,0,44,26,8590,7671,9954,9927,9293,634,27,8725,7218,1062,15,230,140,570,25.8,7260,1372,629,32,58267,75575,22943,20813,2130,23227,11882,11345,494,21270,256,65,1,181,863,17973,9083,8890,4016.0,1617.0
0500000US26135,26,135,"Oscoda County, Michigan",2.21,2.83,8379,1298,124,5439,990,728,8346,79,49,30,15,12,0,0,37,15,3373,3084,3100,3094,2845,249,6,3908,1940,290,3,38,179,336,29.1,2184,355,289,17,49515,61414,8386,7297,1089,8425,4292,4133,177,7841,36,28,0,9,318,6741,3441,3300,1174.0,892.0
