GEO_ID,gini_index,pct_republican_vote,task_force_model,warrant_service_officer,jail_enforcement_model
0500000US05055,0.4314,79.7535,0,1,0
0500000US05057,0.5303,68.8619,1,1,0
0500000US05059,0.4297,75.1119,0,0,1
0500000US05061,0.4583,72.5687,0,0,0
0500000US05063,0.4854,78.6739,0,0,1
0500000US05065,0.4417,81.9241,0,0,1
0500000US05067,0.4974,73.4869,1,0,0
0500000US05069,0.4684,39.1892,0,0,0
0500000US05071,0.4527,74.6882,0,1,0
0500000US05073,0.4763,68.3441,1,1,0
0500000US05075,0.4719,80.9557,0,0,0
0500000US05077,0.6137,46.8651,0,0,0
0500000US05079,0.4295,74.1993,0,0,0
0500000US05081,0.4404,76.4238,0,1,1
0500000US05083,0.4618,80.0366,0,0,0
0500000US05085,0.4171,75.8491,0,1,0
0500000US05087,0.4405,78.4562,0,1,0
0500000US05089,0.439,79.3529,1,0,1
0500000US05091,0.4931,74.9351,1,0,0
0500000US05093,0.5122,64.9715,0,0,1
0500000US05095,0.4804,56.9256,0,0,0
0500000US05097,0.4631,80.5773,0,0,0
0500000US05099,0.3972,68.8682,0,0,0
0500000US05101,0.4246,81.2467,0,0,0
0500000US05103,0.462,58.6135,0,0,1
0500000US05105,0.4275,77.6396,0,0,1
0500000US05107,0.4915,42.4868,0,0,0
0500000US05109,0.5057,85.9569,0,0,0
0500000US05111,0.4711,80.9578,1,1,1
0500000US05113,0.4463,84.3026,0,0,1
0500000US05115,0.4691,74.8956,0,1,0
0500000US05117,0.4509,82.125,1,0,1
0500000US05119,0.5063,37.666,0,1,0
0500000US05121,0.448,80.877,0,0,0
0500000US05123,0.4894,48.6536,0,0,0
0500000US05125,0.4067,68.9753,0,1,0
0500000US05127,0.4194,86.0816,0,0,0
0500000US05129,0.4789,85.4226,0,0,0
0500000US05131,0.5061,67.5856,0,1,0
0500000US05133,0.44,80.017,0,0,0
0500000US05135,0.5062,80.3819,0,1,1
0500000US05137,0.4545,79.7347,0,0,0
0500000US05139,0.4796,66.0021,0,0,0
0500000US05141,0.4268,79.0316,0,0,0
0500000US05143,0.4756,51.7127,0,1,0
0500000US05145,0.452,79.4954,0,0,1
0500000US05147,0.5044,65.2718,0,0,0
0500000US05149,0.4179,79.4658,0,0,0
0500000US06001,0.4765,21.0162,0,0,0
0500000US06003,0.4997,32.9268,0,0,0
0500000US06005,0.4459,62.572,0,0,0
0500000US06007,0.4833,49.8953,0,0,0
0500000US06009,0.4577,62.7832,0,0,0
0500000US06011,0.4667,62.8685,0,0,0
0500000US06013,0.4715,29.3641,0,0,0
0500000US06015,0.4323,56.7872,0,0,0
0500000US06017,0.4699,54.6152,0,0,0
0500000US06019,0.4737,50.8979,0,0,0
0500000US06021,0.434,66.1176,0,0,0
0500000US06023,0.48,33.5664,0,0,0
0500000US06025,0.466,49.1365,0,0,0
0500000US06027,0.4459,49.9162,0,0,0
0500000US06029,0.4584,59.2697,0,0,0
0500000US06031,0.42,60.4178,0,0,0
0500000US06033,0.4842,49.1835,0,0,0
0500000US06035,0.4123,75.7981,0,0,0
0500000US06037,0.4978,31.9132,0,0,0
0500000US06039,0.4591,59.2121,0,0,0
0500000US06041,0.5216,16.6911,0,0,0
0500000US06043,0.4342,59.1545,0,0,0
0500000US06045,0.4809,34.4961,0,0,0
0500000US06047,0.4651,50.8786,0,0,0
0500000US06049,0.4466,71.8127,0,0,0
0500000US06051,0.4253,37.8298,0,0,0
0500000US06053,0.4642,33.5514,0,0,0
0500000US06055,0.4931,31.0562,0,0,0
0500000US06057,0.4846,42.1313,0,0,0
0500000US06059,0.4657,47.0763,0,0,0
0500000US06061,0.4467,52.7838,0,0,0
0500000US06063,0.4863,56.869,0,0,0
0500000US06065,0.4381,49.3061,0,0,0
0500000US06067,0.4443,38.3993,0,0,0
0500000US06069,0.4143,42.3234,0,0,0
0500000US06071,0.4384,49.6795,0,0,0
0500000US06073,0.458,40.1459,0,0,0
0500000US06075,0.5219,15.5334,0,0,0
0500000US06077,0.4375,48.9231,0,0,0
0500000US06079,0.4749,43.0681,0,0,0
0500000US06081,0.4968,23.1811,0,0,0
0500000US06083,0.4944,35.119,0,0,0
0500000US06085,0.4764,28.107,0,0,0
0500000US06087,0.4831,20.8581,0,0,0
0500000US06089,0.4658,66.973,0,0,0
0500000US06091,0.4339,60.7754,0,0,0
0500000US06093,0.4823,57.9878,0,0,0
0500000US06095,0.4292,37.0561,0,0,0
0500000US06097,0.4617,25.2265,0,0,0
0500000US06099,0.4426,54.1778,0,0,0
0500000US06101,0.4635,64.5007,0,0,0
0500000US06103,0.5001,69.7384,0,0,0
0500000US06105,0.4949,52.7724,0,0,0
0500000US06107,0.4361,59.1982,0,0,0
0500000US06109,0.4517,59.7362,0,0,0
0500000US06111,0.4506,40.9967,0,0,0
0500000US06113,0.4834,30.0727,0,0,0
0500000US06115,0.4454,61.4932,0,0,0
0500000US08001,0.4125,44.1526,0,0,0
0500000US08003,0.4585,53.9566,0,0,0
0500000US08005,0.4533,38.5038,0,0,0
0500000US08007,0.4312,55.7777,0,0,0
0500000US08009,0.4733,84.1317,0,0,0
0500000US08011,0.4409,68.3417,0,0,0
0500000US08013,0.4918,20.779,0,0,0
0500000US08014,0.4,34.3273,0,0,0
0500000US08015,0.4186,41.8563,0,0,0
0500000US08017,0.4261,88.1517,0,0,0
0500000US08019,0.4582,40.1901,0,0,0
0500000US08021,0.4394,57.4561,0,0,0
0500000US08023,0.5023,40.8654,0,0,0
0500000US08025,0.4541,72.1571,0,0,0
0500000US08027,0.4664,66.796,0,0,0
0500000US08029,0.4756,66.4818,0,0,0
0500000US08031,0.4905,20.5921,0,0,0
0500000US08033,0.4562,75.828,0,0,0
0500000US08035,0.406,52.2859,0,0,0
0500000US08037,0.4901,36.5062,0,0,0
0500000US08039,0.4118,74.4918,0,0,0
0500000US08041,0.4279,53.552,0,0,0
0500000US08043,0.4732,67.9821,0,0,0
0500000US08045,0.421,47.7183,0,0,0
0500000US08047,0.4297,41.8745,0,0,0
0500000US08049,0.4064,48.7909,0,0,0
0500000US08051,0.446,33.7234,0,0,0
0500000US08053,0.3771,54.7855,0,0,0
0500000US08055,0.4984,52.8616,0,0,0
0500000US08057,0.4447,76.0192,0,0,0
0500000US08059,0.4345,38.8668,0,0,0
0500000US08061,0.4272,86.2109,0,0,0
0500000US08063,0.4903,83.3694,0,0,0
0500000US08065,0.4061,39.8108,0,0,0
0500000US08067,0.4589,39.3038,0,0,0
0500000US08069,0.4529,39.7726,0,0,0
0500000US08071,0.4528,55.5441,0,0,0
0500000US08073,0.4494,81.2913,0,0,0
0500000US08075,0.4628,77.2978,0,0,0
0500000US08077,0.444,60.9596,0,0,0
0500000US08079,0.4888,55.3785,0,0,0
0500000US08081,0.3913,80.3178,0,0,0
0500000US08083,0.4438,59.2759,0,0,0
