GEO_ID,county_name,state,county,pop_foreign_born,pop_not_citizen,pop_language_not_english,pop_not_in_labor_force,pop_private_wage_salary_workers,pop_households_fs_snap,pop_no_health_insurance,_pop_total,pop_hispanic,pop_NH_white,pop_NH_black,pop_NH_AIAN,pop_NH_asian,pop_NH_NHPI,pop_NH_some_other,pop_NH_two_or_more,pop_unhoused,pop_not_hs_graduate,pop_commute_drove_or_carpooled
0500000US29015,"Benton County, Missouri",29,015,187,40,371,9782,4883,1070,1841,20151,411,18460,193,85,32,46,96,828,311,1715,6055
0500000US29017,"Bollinger County, Missouri",29,017,52,47,29,3438,3788,361,759,10559,175,9893,89,3,5,0,51,343,234,694,4123
0500000US29019,"Boone County, Missouri",29,019,12062,6086,16115,51839,71192,5088,10940,188043,8454,142496,17873,145,9052,154,829,9040,9925,5310,81556
0500000US29021,"Buchanan County, Missouri",29,021,3376,1990,4842,26407,32276,4864,9106,83568,6318,66629,4685,165,915,298,166,4392,3251,5537,34595
0500000US29023,"Butler County, Missouri",29,023,335,143,701,14988,13966,3366,5394,42020,1035,36091,1978,78,185,2,234,2417,886,4351,15686
0500000US29025,"Caldwell County, Missouri",29,025,110,64,184,2922,2884,316,836,8927,203,8213,107,23,37,7,44,293,217,501,3515
0500000US29027,"Callaway County, Missouri",29,027,420,254,724,15150,14683,1441,3581,44741,1098,39393,1672,158,64,0,153,2203,3574,2763,17311
0500000US29029,"Camden County, Missouri",29,029,966,535,1636,18273,14684,1469,4515,43667,1526,40223,381,14,249,0,52,1222,418,2314,15028
0500000US29031,"Cape Girardeau County, Missouri",29,031,2014,1357,2840,23660,33845,3166,6026,82735,2439,69142,6109,196,1361,88,170,3230,3605,3968,36777
0500000US29033,"Carroll County, Missouri",29,033,15,6,53,2760,2834,317,672,8411,187,7850,127,0,13,1,0,233,108,584,3334
0500000US29035,"Carter County, Missouri",29,035,80,67,180,1842,1584,404,765,5297,121,4903,22,0,2,0,0,249,44,691,1856
0500000US29037,"Cass County, Missouri",29,037,1944,772,3398,29001,46705,2299,8442,110773,6083,92652,5052,203,842,110,928,4903,1046,4457,46991
0500000US29039,"Cedar County, Missouri",29,039,83,62,368,5545,4408,705,2134,14615,320,13461,72,31,4,0,136,591,339,1093,4912
0500000US29041,"Chariton County, Missouri",29,041,49,41,157,2371,2402,189,341,7390,111,6852,138,44,14,0,12,219,241,396,2990
0500000US29043,"Christian County, Missouri",29,043,2457,915,3705,25618,36692,2235,6980,92915,3505,83999,653,159,750,89,381,3379,616,3857,38513
0500000US29045,"Clark County, Missouri",29,045,17,7,100,2480,1973,188,716,6675,65,6334,127,0,6,0,0,143,132,405,2261
0500000US29047,"Clay County, Missouri",29,047,14236,5382,19065,63460,111292,6168,19385,258122,20621,198705,17626,527,6619,758,815,12451,2996,10194,109187
0500000US29049,"Clinton County, Missouri",29,049,227,123,479,6737,8128,646,1859,21414,567,19680,169,25,35,0,32,906,426,1118,8339
0500000US29051,"Cole County, Missouri",29,051,2210,1055,2877,22906,25444,1847,4266,77032,2807,61045,7484,182,1086,8,497,3923,4072,3073,32894
0500000US29053,"Cooper County, Missouri",29,053,115,38,362,5696,5447,420,1353,16824,361,14773,943,17,21,0,25,684,1264,1124,6669
0500000US29055,"Crawford County, Missouri",29,055,275,102,296,8372,7390,1163,2904,22797,552,20943,177,38,18,51,94,924,459,2273,8712
0500000US29057,"Dade County, Missouri",29,057,121,38,165,2804,2446,451,762,7641,175,7032,32,31,10,1,4,356,181,516,2678
0500000US29059,"Dallas County, Missouri",29,059,132,35,589,7186,4875,1137,2758,17551,398,16342,33,16,3,0,0,759,206,1314,5656
0500000US29061,"Daviess County, Missouri",29,061,59,35,641,2763,2727,249,1427,8477,151,8060,82,10,18,8,0,148,120,894,3003
0500000US29063,"DeKalb County, Missouri",29,063,195,139,194,4695,3081,290,598,10876,258,9465,710,28,62,0,18,335,1926,839,3586
0500000US29065,"Dent County, Missouri",29,065,282,111,157,5402,4130,955,2248,14539,324,13239,61,95,124,10,28,658,194,1681,5024
0500000US29067,"Douglas County, Missouri",29,067,158,84,86,4849,3364,671,1355,11965,280,11051,108,90,16,0,18,402,128,1132,3729
0500000US29069,"Dunklin County, Missouri",29,069,800,624,1696,9949,8310,2765,4063,27493,2107,20218,1896,28,96,0,32,3116,744,3434,10064
0500000US29071,"Franklin County, Missouri",29,071,1450,989,1887,32133,42932,3050,7283,105950,2461,93978,905,76,453,43,232,7802,978,6902,43569
0500000US29073,"Gasconade County, Missouri",29,073,74,25,180,4923,5487,625,849,14746,237,13907,127,44,16,37,0,378,250,967,6252
0500000US29075,"Gentry County, Missouri",29,075,70,21,215,1886,2023,214,848,6245,124,5833,22,2,42,0,12,210,188,438,2443
0500000US29077,"Greene County, Missouri",29,077,11481,5475,15666,89264,127253,13120,31157,303375,15605,254936,9016,717,5893,370,1625,15213,10025,12036,126815
0500000US29079,"Grundy County, Missouri",29,079,119,56,449,3436,3022,458,1549,9787,273,9012,44,20,71,0,39,328,300,882,3480
0500000US29081,"Harrison County, Missouri",29,081,170,56,287,2907,2413,437,1100,8190,68,7684,64,13,99,0,13,249,170,532,2893
0500000US29083,"Henry County, Missouri",29,083,116,89,439,7917,7245,1000,2096,22328,675,20389,169,46,36,0,8,1005,286,1558,8474
0500000US29085,"Hickory County, Missouri",29,085,13,0,297,4267,2035,429,1115,8585,157,8015,7,3,39,0,2,362,147,837,2316
0500000US29087,"Holt County, Missouri",29,087,50,21,40,1442,1398,118,401,4240,79,3956,18,0,16,0,25,146,100,221,1769
0500000US29089,"Howard County, Missouri",29,089,107,40,105,3646,3402,281,816,10147,229,8742,561,38,21,5,67,484,798,593,3824
0500000US29091,"Howell County, Missouri",29,091,498,237,1191,14130,12187,2232,4656,40383,1042,36940,194,78,177,2,532,1418,715,3589,15036
0500000US29093,"Iron County, Missouri",29,093,164,54,130,3735,2777,705,988,9446,210,8662,48,20,106,9,11,380,328,982,3390
0500000US29095,"Jackson County, Missouri",29,095,47328,25896,70940,188931,297759,31623,76545,719976,82126,427242,158398,963,12772,1655,3568,33252,10249,41017,285335
0500000US29097,"Jasper County, Missouri",29,097,4898,2966,7623,35529,48464,7323,14863,124357,12221,100192,2054,720,1612,419,438,6701,2204,8904,51176
0500000US29099,"Jefferson County, Missouri",29,099,5265,1370,7156,62660,99793,6252,15051,229458,6066,202967,2315,197,2305,47,760,14801,1966,12925,100477
0500000US29101,"Johnson County, Missouri",29,101,1620,961,2489,14825,17684,1344,4297,54732,2821,45821,2332,81,830,199,295,2353,3890,2197,23970
0500000US29103,"Knox County, Missouri",29,103,14,5,182,1184,1136,106,946,3756,11,3561,24,3,7,76,6,68,129,460,1249
0500000US29105,"Laclede County, Missouri",29,105,537,272,919,11192,13081,2231,3916,36390,1086,32903,209,118,275,101,62,1636,331,3616,14927
0500000US29107,"Lafayette County, Missouri",29,107,746,326,1117,9921,12903,1177,2678,33115,1155,29712,514,80,123,0,197,1334,651,1946,13871
0500000US29109,"Lawrence County, Missouri",29,109,1335,668,2984,11927,13338,1788,5322,38593,3263,33261,107,159,187,16,267,1333,622,3260,14689
0500000US29111,"Lewis County, Missouri",29,111,59,56,226,3357,3896,192,1043,9924,111,9084,383,2,50,0,4,290,793,723,3895
0500000US29113,"Lincoln County, Missouri",29,113,657,337,1614,17410,26286,1591,5183,63057,1809,57929,1070,47,203,65,43,1891,720,3835,26587
0500000US29115,"Linn County, Missouri",29,115,140,60,345,3694,3708,422,1090,11852,352,11100,97,26,52,12,0,213,164,703,4810
0500000US29117,"Livingston County, Missouri",29,117,113,61,337,5203,4677,557,1492,14364,295,13036,434,41,49,4,48,457,1368,1333,5739
0500000US29119,"McDonald County, Missouri",29,119,2597,1936,3526,8092,8051,1168,4347,23701,2949,16185,466,285,308,910,127,2471,151,2692,8284
0500000US29121,"Macon County, Missouri",29,121,100,44,438,5301,4981,521,1716,15163,287,13954,275,14,93,0,33,507,214,827,5735
0500000US29123,"Madison County, Missouri",29,123,173,123,319,4436,4377,629,1322,12729,356,11738,35,65,36,0,13,486,258,1073,4466
0500000US29125,"Maries County, Missouri",29,125,52,12,60,3176,2449,385,457,8450,175,7746,18,103,0,0,4,404,83,736,3193
0500000US29127,"Marion County, Missouri",29,127,163,106,239,9375,10088,1370,2203,28457,582,25330,1192,68,228,0,70,987,1247,1802,10803
0500000US29129,"Mercer County, Missouri",29,129,125,93,242,1146,1107,139,313,3482,167,3173,6,10,31,4,0,91,68,217,1211
0500000US29131,"Miller County, Missouri",29,131,380,273,655,8370,8358,875,2676,25269,547,23586,279,33,96,12,70,646,352,2064,9948
0500000US29133,"Mississippi County, Missouri",29,133,50,19,122,4863,3617,1224,1150,11902,96,8410,2257,4,76,0,0,1059,1393,1345,4146
0500000US29135,"Moniteau County, Missouri",29,135,444,209,1609,5083,4663,435,2620,15262,895,13444,342,3,71,0,58,449,1204,1613,5691
0500000US29137,"Monroe County, Missouri",29,137,84,53,186,3481,2673,265,910,8734,160,8004,309,37,34,0,29,161,172,495,3111
0500000US29139,"Montgomery County, Missouri",29,139,100,54,227,3920,4075,516,1103,11426,266,10549,97,38,9,15,5,447,259,910,4370
0500000US29141,"Morgan County, Missouri",29,141,200,66,1622,9025,6050,1059,5133,21717,569,19956,51,11,78,0,33,1019,401,2937,6801
0500000US29143,"New Madrid County, Missouri",29,143,153,79,303,5860,4534,1575,1757,15731,292,11676,2051,14,49,0,44,1605,350,1430,6009
0500000US29145,"Newton County, Missouri",29,145,2735,1976,4258,18874,22089,2727,7584,60118,4058,48330,566,750,963,837,296,4318,1263,4255,23513
0500000US29147,"Nodaway County, Missouri",29,147,435,351,739,7306,7293,704,1507,20774,461,18998,439,58,341,5,95,377,2617,596,8988
0500000US29149,"Oregon County, Missouri",29,149,58,29,75,3504,2278,672,1397,8673,132,8033,7,15,39,3,5,439,133,899,2824
